book_id,checkout,return,member
79,17/10/1972,24/02/1989,util
80,17/10/1972,23/01/1985,arad
81,17/10/1972,21/10/1979,coai
81,21/10/1979,24/10/1986,suii
80,23/01/1985,01/05/1997,suii
81,24/10/1986,27/10/1993,suii
79,24/02/1989,04/07/2005,coaa
61,25/10/1990,30/07/1998,arad
62,25/10/1990,01/03/2001,suii
63,25/10/1990,28/12/1995,coaa
55,01/09/1993,25/01/2003,suii
56,01/09/1993,11/09/1997,util
57,01/09/1993,19/09/2000,suii
81,27/10/1993,30/10/2000,book
67,17/11/1993,16/11/1997,util
68,17/11/1993,17/03/2003,book
69,17/11/1993,15/11/2000,suii
70,06/03/1994,29/05/2003,util
71,06/03/1994,18/09/1999,suii
72,06/03/1994,29/05/2003,book
52,06/10/1994,19/10/2003,book
53,06/10/1994,13/04/1999,book
54,06/10/1994,08/03/2000,arad
28,01/04/1995,14/02/2004,book
29,01/04/1995,27/07/2000,book
30,01/04/1995,07/09/1999,util
13,06/07/1995,11/04/1999,arad
14,06/07/1995,26/11/1999,coaa
15,06/07/1995,18/04/2004,book
16,03/10/1995,22/12/2000,suii
17,03/10/1995,13/04/2002,coaa
18,03/10/1995,26/06/1999,arad
64,21/10/1995,28/06/2004,arad
65,21/10/1995,12/07/1999,coaa
66,21/10/1995,23/02/2000,suii
63,28/12/1995,01/03/2001,suii
80,01/05/1997,07/08/2009,util
56,11/09/1997,21/09/2001,arad
67,16/11/1997,15/11/2001,book
76,04/06/1998,09/10/2001,book
77,04/06/1998,01/05/2002,coaa
78,04/06/1998,13/04/2004,util
61,30/07/1998,04/05/2006,util
73,08/03/1999,20/09/2003,book
74,08/03/1999,03/06/2002,util
75,08/03/1999,07/11/2004,coai
13,11/04/1999,15/01/2003,book
53,13/04/1999,19/10/2003,book
18,26/06/1999,19/03/2003,util
65,12/07/1999,02/04/2003,suii
49,17/08/1999,27/01/2004,coaa
50,17/08/1999,20/10/2002,suii
51,17/08/1999,02/05/2003,book
30,07/09/1999,13/02/2004,coaa
71,18/09/1999,01/04/2005,coai
85,10/11/1999,11/05/2005,book
86,10/11/1999,01/01/2003,util
87,10/11/1999,11/05/2005,book
14,26/11/1999,17/04/2004,book
66,23/02/2000,27/06/2004,coai
54,08/03/2000,09/08/2005,arad
29,27/07/2000,22/11/2005,arad
43,29/07/2000,14/08/2003,coai
44,29/07/2000,15/02/2004,book
45,29/07/2000,14/08/2003,util
57,19/09/2000,08/10/2007,util
81,30/10/2000,03/11/2007,arad
69,15/11/2000,14/11/2007,arad
16,22/12/2000,13/03/2006,coai
62,01/03/2001,07/07/2011,util
63,01/03/2001,04/05/2006,suii
56,21/09/2001,01/10/2005,suii
76,09/10/2001,13/02/2005,book
67,15/11/2001,14/11/2005,coaa
17,13/04/2002,22/10/2008,coai
77,01/05/2002,28/03/2006,coaa
74,03/06/2002,29/08/2005,util
58,17/09/2002,04/02/2009,util
59,17/09/2002,17/07/2006,suii
60,17/09/2002,04/02/2009,coaa
50,20/10/2002,23/12/2005,suii
86,01/01/2003,22/02/2006,util
13,15/01/2003,21/10/2006,util
55,25/01/2003,19/06/2012,coai
68,17/03/2003,14/07/2012,coai
18,19/03/2003,10/12/2006,util
65,02/04/2003,22/12/2006,coaa
51,02/05/2003,15/01/2007,arad
70,29/05/2003,20/08/2012,coaa
72,29/05/2003,20/08/2012,suii
1,01/07/2003,02/02/2008,coaa
2,01/07/2003,13/02/2006,suii
3,01/07/2003,23/07/2006,arad
43,14/08/2003,29/08/2006,arad
45,14/08/2003,29/08/2006,book
37,07/09/2003,12/04/2006,coaa
38,07/09/2003,18/09/2006,coai
39,07/09/2003,27/04/2007,coai
73,20/09/2003,03/04/2008,suii
52,19/10/2003,31/10/2012,book
53,19/10/2003,25/04/2008,coaa
49,27/01/2004,08/07/2008,book
30,13/02/2004,21/07/2008,book
28,14/02/2004,29/12/2012,coaa
44,15/02/2004,03/09/2007,suii
78,13/04/2004,21/02/2010,arad
14,17/04/2004,07/09/2008,arad
15,18/04/2004,30/01/2013,book
66,27/06/2004,30/10/2008,suii
64,28/06/2004,06/03/2013,suii
75,07/11/2004,10/07/2010,util
76,13/02/2005,20/06/2008,book
71,01/04/2005,14/10/2010,suii
